example_id                                          | status  | run_time        |
--------------------------------------------------- | ------- | --------------- |
./spec/helpers/book_helper_spec.rb[1:1]             | pending | 0.00001 seconds |
./spec/models/author_spec.rb[1:1]                   | pending | 0.00001 seconds |
./spec/models/book_author_spec.rb[1:1]              | pending | 0.00002 seconds |
./spec/models/book_genre_spec.rb[1:1]               | pending | 0.00001 seconds |
./spec/models/book_spec.rb[1:1]                     | pending | 0.00001 seconds |
./spec/models/genre_spec.rb[1:1]                    | pending | 0.00001 seconds |
./spec/requests/book_genre_request_spec.rb[1:1:1:1] | passed  | 0.0116 seconds  |
./spec/requests/book_genre_request_spec.rb[1:2:1:1] | passed  | 0.00484 seconds |
./spec/requests/book_genre_request_spec.rb[1:2:2:1] | passed  | 0.00256 seconds |
./spec/requests/book_genre_request_spec.rb[1:3:1:1] | passed  | 0.0042 seconds  |
./spec/requests/book_genre_request_spec.rb[1:3:2:1] | passed  | 0.00491 seconds |
./spec/requests/book_genre_request_spec.rb[1:4:1:1] | passed  | 0.00835 seconds |
./spec/requests/book_genre_request_spec.rb[1:4:2:1] | passed  | 0.00335 seconds |
./spec/requests/book_genre_request_spec.rb[1:5:1:1] | passed  | 0.00748 seconds |
./spec/requests/book_genre_request_spec.rb[1:5:2:1] | passed  | 0.00359 seconds |
./spec/requests/book_request_spec.rb[1:1:1:1]       | passed  | 0.02341 seconds |
./spec/requests/book_request_spec.rb[1:1:2:1]       | passed  | 0.02292 seconds |
./spec/requests/book_request_spec.rb[1:1:2:2]       | passed  | 0.0216 seconds  |
./spec/requests/book_request_spec.rb[1:1:2:3]       | passed  | 0.02356 seconds |
./spec/requests/book_request_spec.rb[1:1:2:4]       | passed  | 0.02523 seconds |
./spec/requests/book_request_spec.rb[1:1:2:5]       | passed  | 0.02282 seconds |
./spec/requests/book_request_spec.rb[1:1:2:6]       | passed  | 0.02069 seconds |
./spec/requests/book_request_spec.rb[1:1:3:1]       | passed  | 0.00276 seconds |
./spec/requests/book_request_spec.rb[1:1:4:1]       | passed  | 0.00236 seconds |
./spec/requests/book_request_spec.rb[1:2:1:1]       | passed  | 0.00617 seconds |
./spec/requests/book_request_spec.rb[1:2:1:2]       | passed  | 0.00486 seconds |
./spec/requests/book_request_spec.rb[1:3:1:1]       | passed  | 0.04544 seconds |
./spec/requests/book_request_spec.rb[1:3:2:1:1]     | passed  | 0.00834 seconds |
./spec/requests/book_request_spec.rb[1:3:2:2:1]     | passed  | 0.00683 seconds |
./spec/requests/book_request_spec.rb[1:3:2:3:1]     | passed  | 0.01165 seconds |
./spec/requests/book_request_spec.rb[1:4:1:1:1]     | passed  | 0.00918 seconds |
./spec/requests/book_request_spec.rb[1:4:1:2:1:1]   | passed  | 0.00771 seconds |
./spec/requests/book_request_spec.rb[1:4:1:2:2:1]   | passed  | 0.00806 seconds |
./spec/requests/book_request_spec.rb[1:4:1:2:3:1]   | passed  | 0.10886 seconds |
./spec/requests/book_request_spec.rb[1:5:1:1]       | passed  | 0.01546 seconds |
./spec/requests/book_request_spec.rb[1:5:2:1]       | passed  | 0.00419 seconds |
./spec/requests/book_request_spec.rb[1:5:3:1]       | passed  | 0.02286 seconds |
